rebalance_date,signal_date,entry_date,holdings,n_holdings,n_sold,n_bought,turnover_est,cost,skipped_no_hold_dates,strategy
2020-11-19,2020-11-19,2020-11-20,"['INTC', 'NFLX', 'NVDA', 'ORCL', 'AVGO', 'AMZN', 'COST', 'SBUX', 'MSFT', 'CDNS']",10,5,5,1.0,0.001,False,ML_Base
2020-12-04,2020-12-04,2020-12-07,"['ORCL', 'PANW', 'COST', 'SBUX', 'GILD', 'INTC', 'AVGO', 'AMZN', 'PAYX', 'AAPL']",10,4,4,0.8,0.0008,False,ML_Base
2020-12-18,2020-12-18,2020-12-21,"['SBUX', 'NFLX', 'NVDA', 'AMZN', 'LRCX', 'AAPL', 'META', 'QCOM', 'ISRG', 'PAYX']",10,6,6,1.2,0.0012,False,ML_Base
2021-01-20,2021-01-20,2021-01-21,"['NVDA', 'PANW', 'CDNS', 'PAYX', 'MNST', 'AAPL', 'AMD', 'ORCL', 'AVGO', 'GOOGL']",10,7,7,1.4,0.0014,False,ML_Base
2021-02-03,2021-02-03,2021-02-04,"['LRCX', 'NVDA', 'ODFL', 'MNST', 'FAST', 'NFLX', 'INTC', 'AVGO', 'AMAT', 'ISRG']",10,7,7,1.4,0.0014,False,ML_Base
2021-02-18,2021-02-18,2021-02-19,"['VRTX', 'NFLX', 'TSLA', 'FAST', 'AMZN', 'GOOGL', 'AAPL', 'ORCL', 'PEP', 'EBAY']",10,8,8,1.6,0.0016,False,ML_Base
2021-03-04,2021-03-04,2021-03-05,"['INTC', 'GILD', 'EBAY', 'PANW', 'GOOGL', 'NFLX', 'TSLA', 'FAST', 'CRM', 'SBUX']",10,5,5,1.0,0.001,False,ML_Base
2021-03-18,2021-03-18,2021-03-19,"['PANW', 'NFLX', 'ORCL', 'NVDA', 'FAST', 'MNST', 'AVGO', 'GOOGL', 'CRM', 'AAPL']",10,5,5,1.0,0.001,False,ML_Base
2021-04-01,2021-04-01,2021-04-05,"['NFLX', 'INTC', 'AAPL', 'NVDA', 'GOOGL', 'FAST', 'GILD', 'EBAY', 'ODFL', 'MNST']",10,4,4,0.8,0.0008,False,ML_Base
2021-04-16,2021-04-16,2021-04-19,"['NFLX', 'INTC', 'AMAT', 'MU', 'LRCX', 'MDLZ', 'PAYX', 'GOOGL', 'META', 'PANW']",10,7,7,1.4,0.0014,False,ML_Base
2021-04-30,2021-04-30,2021-05-03,"['INTC', 'ORCL', 'NVDA', 'NFLX', 'LRCX', 'AVGO', 'PAYX', 'SNPS', 'MU', 'ODFL']",10,5,5,1.0,0.001,False,ML_Base
2021-05-14,2021-05-14,2021-05-17,"['NFLX', 'INTC', 'ORCL', 'FAST', 'AAPL', 'AVGO', 'MDLZ', 'MU', 'PEP', 'AMAT']",10,5,5,1.0,0.001,False,ML_Base
2021-05-28,2021-05-28,2021-06-01,"['GILD', 'TSLA', 'ORCL', 'AAPL', 'FAST', 'AMGN', 'MSFT', 'AMZN', 'NFLX', 'LRCX']",10,6,6,1.2,0.0012,False,ML_Base
